Comment,Designator,Footprint,LCSC,Quantity
1k27,"R13,R28",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C101451,2
10uH,L101,L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C1046,1
100n,"C10,C11,C12,C13,C14,C4,C8",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C14663,7
10u,C9,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C15850,1
100u,C7,CP_EIA-3528-21_Kemet-B_Pad1.50x2.35mm_HandSolder,C16133,1
1k33,R2,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17382,1
1k402,"R6,R7",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17388,2
1k77,"R25,R26",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17397,2
1k,"R1,R101,R14,R19,R20,R24",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17513,6
300,R23,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17617,1
4k7,"R12,R27",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17673,2
510,R8,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17734,1
511,R21,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17736,1
680k,R18,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17797,1
75,"R10,R11,R15,R3,R4,R5,R9",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C17820,7
RS8752XK,U3,SOIC-8_3.9x4.9mm_P1.27mm,C236994,1
THS7374,U6,TSSOP-14_4.4x5mm_P0.65mm,C2652746,1
SC6206B-65K5,U1,SOT-23,C2688243,1
5k1,"R16,R17",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C27834,2
1u,"C1,C2,C3",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C28323,3
USB_C_Receptacle_Power,J3,USB_C_Receptacle_Generic_Power_Only,C283540,1
2740,R22,R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C322392,1
LED,D101,LED_0805_2012Metric,C34499,1
74HC86,U10,TSSOP-14_4.4x5mm_P0.65mm,C471866,1
LM1881,U8,SOIC-8_3.9x4.9mm_P1.27mm,C518922,1
10u,C5,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,C7171,1
SCART_CONN,J4,SCART_CONN,,1
3xRCA_CONN,J5,3xRCA_CONN_SINGLE,,1
VGA,J1,VGA_CONN,,1
Conn_Coaxial,JR1,Cheapo_RCA_single_edge,,1
Conn_Coaxial,JU1,Cheapo_RCA_single_edge,,1
Jumper_3_Bridged12,JP1,SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm,,1
Fiducial,GOTE1,uwuriel,,1
Fiducial,GOTE2,borgar,,1
